Item No,Order ID,Part Number,Part Description,Supplier Name,Plant,Order Amount,Date
50,20200616A001,2924787,300,AUN,Metal,300,16/06/2020
50,20200618A001,2924787,300,AUN,Metal,300,18/06/2020
51,20200604A001,2626632,200,AUN,Metal,200,04/06/2020
51,20200610A001,2626632,200,AUN,Metal,200,10/06/2020
51,20200612A001,2626632,100,AUN,Metal,100,12/06/2020
51,20200617A001,2626632,100,AUN,Metal,100,17/06/2020
51,20200618A001,2626632,100,AUN,Metal,100,18/06/2020
53,20200604A001,2521967,100,AUN,Metal,100,04/06/2020
53,20200608A001,2521967,100,AUN,Metal,100,08/06/2020
53,20200610A001,2521967,100,AUN,Metal,100,10/06/2020
53,20200611A001,2521967,100,AUN,Metal,100,11/06/2020
53,20200612A001,2521967,100,AUN,Metal,100,12/06/2020
53,20200615A001,2521967,100,AUN,Metal,100,15/06/2020
53,20200617A001,2521967,100,AUN,Metal,100,17/06/2020
54,20200602A001,2697289,400,AUN,Metal,400,02/06/2020
54,20200604A001,2697289,400,AUN,Metal,400,04/06/2020
54,20200605A001,2697289,200,AUN,Metal,200,05/06/2020
54,20200609A001,2697289,400,AUN,Metal,400,09/06/2020
54,20200610A001,2697289,200,AUN,Metal,200,10/06/2020
54,20200611A001,2697289,200,AUN,Metal,200,11/06/2020
54,20200612A001,2697289,400,AUN,Metal,400,12/06/2020
54,20200615A001,2697289,100,AUN,Metal,100,15/06/2020
56,20200602A001,2689984,200,AUN,Metal,200,02/06/2020
56,20200604A001,2689984,200,AUN,Metal,200,04/06/2020
56,20200605A001,2689984,200,AUN,Metal,200,05/06/2020
56,20200608A001,2689984,200,AUN,Metal,200,08/06/2020
56,20200610A001,2689984,200,AUN,Metal,200,10/06/2020
56,20200611A001,2689984,200,AUN,Metal,200,11/06/2020
56,20200615A001,2689984,200,AUN,Metal,200,15/06/2020
57,20200602A001,2783891,600,AUN,Metal,600,02/06/2020
57,20200604A001,2783891,400,AUN,Metal,400,04/06/2020
57,20200605A001,2783891,200,AUN,Metal,200,05/06/2020
57,20200608A001,2783891,400,AUN,Metal,400,08/06/2020
57,20200609A001,2783891,400,AUN,Metal,400,09/06/2020
57,20200610A001,2783891,400,AUN,Metal,400,10/06/2020
57,20200611A001,2783891,400,AUN,Metal,400,11/06/2020
57,20200612A001,2783891,400,AUN,Metal,400,12/06/2020
57,20200615A001,2783891,200,AUN,Metal,200,15/06/2020
57,20200616A001,2783891,200,AUN,Metal,200,16/06/2020
57,20200617A001,2783891,200,AUN,Metal,200,17/06/2020
58,20200604A001,2768859,400,AUN,Metal,400,04/06/2020
58,20200605A001,2768859,400,AUN,Metal,400,05/06/2020
58,20200608A001,2768859,200,AUN,Metal,200,08/06/2020
58,20200609A001,2768859,200,AUN,Metal,200,09/06/2020
58,20200610A001,2768859,200,AUN,Metal,200,10/06/2020
58,20200611A001,2768859,200,AUN,Metal,200,11/06/2020
